Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides TMT_BP123	Peptides TMT_BP456	Razor + unique peptides TMT_BP123	Razor + unique peptides TMT_BP456	Unique peptides TMT_BP123	Unique peptides TMT_BP456	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 TMT_BP123	Reporter intensity corrected 2 TMT_BP123	Reporter intensity corrected 3 TMT_BP123	Reporter intensity corrected 4 TMT_BP123	Reporter intensity corrected 5 TMT_BP123	Reporter intensity corrected 6 TMT_BP123	Reporter intensity corrected 1 TMT_BP456	Reporter intensity corrected 2 TMT_BP456	Reporter intensity corrected 3 TMT_BP456	Reporter intensity corrected 4 TMT_BP456	Reporter intensity corrected 5 TMT_BP456	Reporter intensity corrected 6 TMT_BP456	Reporter intensity 1 TMT_BP123	Reporter intensity 2 TMT_BP123	Reporter intensity 3 TMT_BP123	Reporter intensity 4 TMT_BP123	Reporter intensity 5 TMT_BP123	Reporter intensity 6 TMT_BP123	Reporter intensity 1 TMT_BP456	Reporter intensity 2 TMT_BP456	Reporter intensity 3 TMT_BP456	Reporter intensity 4 TMT_BP456	Reporter intensity 5 TMT_BP456	Reporter intensity 6 TMT_BP456	Reporter intensity count 1 TMT_BP123	Reporter intensity count 2 TMT_BP123	Reporter intensity count 3 TMT_BP123	Reporter intensity count 4 TMT_BP123	Reporter intensity count 5 TMT_BP123	Reporter intensity count 6 TMT_BP123	Reporter intensity count 1 TMT_BP456	Reporter intensity count 2 TMT_BP456	Reporter intensity count 3 TMT_BP456	Reporter intensity count 4 TMT_BP456	Reporter intensity count 5 TMT_BP456	Reporter intensity count 6 TMT_BP456	Sequence coverage TMT_BP123 [%]	Sequence coverage TMT_BP456 [%]	Intensity	Intensity TMT_BP123	Intensity TMT_BP456	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P50579	P50579	9	9	9	Methionine aminopeptidase 2	METAP2	sp|P50579|MAP2_HUMAN Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1	1	9	9	9	7	8	7	8	7	8	28	28	28	52.891	478	478	1.78	4	14	0	76.542	256140	281030	262890	297830	331820	303410	242720	279130	279170	294690	334320	294270	18	18	18	18	18	18	141150	167720	127600	177550	172940	149720	114990	113310	135290	120280	158880	153690	133810	165500	138980	173610	174950	145480	108910	113630	140190	121080	159370	148790	9	9	9	9	9	9	9	9	9	9	9	9	22.4	25.3	260920000	160160000	100770000	18				1358	1433;10080;10129;10625;12044;14521;21595;22427;25366	True;True;True;True;True;True;True;True;True	1423;10086;10135;10634;12057;14542;21624;22453;25394	4016;28574;28575;28727;30150;30151;34662;41731;41732;41733;41734;61355;61356;63658;63659;71981;71982;71983	4135;29421;29422;29579;31070;31071;35741;43100;43101;43102;43103;63191;63192;65580;65581;74107;74108;74109	4135;29422;29579;31070;35741;43101;63191;65580;74107		
P50750	P50750	2	1	1	Cyclin-dependent kinase 9	CDK9	sp|P50750|CDK9_HUMAN Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3	1	2	1	1	2	0	1	0	1	0	5.4	3.2	3.2	42.777	372	372	2		1	0.00028637	3.1302	6212.7	5036.8	4958.9	5604.6	5716.4	5133.3	5878.9	5099.4	5245.5	5530.8	5777.1	4981.7	1	1	1	1	1	1	6212.7	5036.8	4958.9	5604.6	5716.4	5133.3	0	0	0	0	0	0	5878.9	5099.4	5245.5	5530.8	5777.1	4981.7	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	5.4	0	6021900	6021900	0	1				1359	14271;18833	False;True	14291;18858	41001;53980	42351;55721	42351;55721		
P50851;Q8NFP9	P50851	12;1	12;1	12;1	Lipopolysaccharide-responsive and beige-like anchor protein	LRBA	sp|P50851|LRBA_HUMAN Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens OX=9606 GN=LRBA PE=1 SV=4	2	12	12	12	7	9	7	9	7	9	5.5	5.5	5.5	319.1	2863	2863;2946	1.59	7	10	0	42.681	126920	137620	147640	121590	178700	140170	120260	137040	153540	123460	177580	136690	16	16	16	16	16	16	52412	63403	49272	53329	65787	48297	74506	74215	98372	68259	112910	91876	49693	62523	52945	53074	65641	47220	70567	74515	100600	70385	111940	89471	6	6	6	6	6	6	10	10	10	10	10	10	2.8	4.2	111700000	38512000	73183000	17				1360	742;5208;6124;11383;16233;18072;20124;24930;25516;26172;26257;28170	True;True;True;True;True;True;True;True;True;True;True;True	732;5203;6120;11395;16262;18094;20149;24956;25544;26203;26288;28206	2041;14760;17341;32658;32659;46640;51692;51693;51694;57427;70688;70689;72391;74323;74324;74596;80086	2108;15211;17882;33670;33671;48208;53357;53358;53359;59202;72779;72780;74526;76505;76506;76780;82531	2108;15211;17882;33671;48208;53357;59202;72779;74526;76505;76780;82531		
P50895	P50895	7	7	7	Basal cell adhesion molecule	BCAM	sp|P50895|BCAM_HUMAN Basal cell adhesion molecule OS=Homo sapiens OX=9606 GN=BCAM PE=1 SV=2	1	7	7	7	5	5	5	5	5	5	15.1	15.1	15.1	67.404	628	628	1.64	5	9	0	27.127	135880	169320	191540	165990	225210	180460	128850	167580	198890	167510	224480	175840	12	12	12	12	12	12	68891	104440	101020	104380	127200	95975	66988	64879	90512	61612	98010	84489	65415	102270	106630	104010	127060	93732	63438	65311	92257	63498	97422	82108	6	6	6	6	6	6	6	6	6	6	6	6	10.7	11.1	109980000	57185000	52799000	14				1361	3694;5763;14908;16718;19900;22871;25798	True;True;True;True;True;True;True	3682;5759;14929;16748;19925;22897;25827	10346;10347;10348;16273;16274;16275;42849;42850;42851;42852;47985;56856;64872;73230	10622;10623;10624;16757;16758;16759;44279;44280;44281;44282;49564;58622;66822;75396	10623;16757;44281;49564;58622;66822;75396		
P50897	P50897	7	7	7	Palmitoyl-protein thioesterase 1	PPT1	sp|P50897|PPT1_HUMAN Palmitoyl-protein thioesterase 1 OS=Homo sapiens OX=9606 GN=PPT1 PE=1 SV=1	1	7	7	7	6	6	6	6	6	6	38.2	38.2	38.2	34.193	306	306	1.4	12	8	0	28.635	443530	529750	555140	517450	614160	545090	420480	524730	580330	517750	616750	529200	20	20	20	20	20	20	222950	291650	245650	288230	303930	263750	220580	238100	309490	229230	310220	281340	211480	286830	263160	284330	306430	256260	209000	237910	317180	233420	310320	272940	9	9	9	9	9	9	11	11	11	11	11	11	29.4	35.9	686610000	313150000	373460000	20				1362	3137;7287;9634;16432;17031;24504;24511	True;True;True;True;True;True;True	3124;7284;9639;16462;17061;24529;24536	8798;8799;20471;20472;20473;20474;20475;27288;47184;47185;47186;48895;48896;48897;48898;48899;69468;69469;69493;69494	9051;9052;21065;21066;21067;21068;21069;28104;48753;48754;48755;50487;50488;50489;50490;50491;71538;71539;71563;71564	9051;21066;28104;48753;50491;71538;71563		
P50914	P50914	6	6	6	60S ribosomal protein L14	RPL14	sp|P50914|RL14_HUMAN 60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4	1	6	6	6	6	1	6	1	6	1	27.9	27.9	27.9	23.432	215	215	1.4	9	6	0	15.104	309100	252720	210290	318950	280190	225150	292500	255160	228540	310040	284240	219350	14	14	14	14	14	14	267030	211240	153630	269380	197370	162590	42072	41480	56660	49572	82820	62552	252660	213470	170180	259620	202320	158270	39846	41696	58364	50422	81923	61088	10	10	10	10	10	10	4	4	4	4	4	4	27.9	5.6	518180000	336870000	181310000	15				1363	1691;3095;8419;16901;21014;25601	True;True;True;True;True;True	1682;3081;8420;16931;21041;25629	4768;4769;8702;23709;23710;48515;48516;48517;48518;48519;48520;48521;48522;59793;72673	4919;4920;8954;24410;24411;50102;50103;50104;50105;50106;50107;50108;50109;61608;74826	4919;8954;24410;50102;61608;74826		
P50990	P50990	31	31	31	T-complex protein 1 subunit theta	CCT8	sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4	1	31	31	31	27	27	27	27	27	27	58.2	58.2	58.2	59.62	548	548	1.4	63	42	0	121.93	3203200	3127500	3212800	3448100	3748800	3320700	3033500	3130600	3382300	3416800	3777200	3224200	100	99	100	100	100	100	1833500	1763400	1479100	1929600	1800800	1486000	1369600	1364100	1733700	1518500	1948100	1834700	1736300	1762000	1592800	1888800	1822800	1446400	1297200	1368600	1789400	1528000	1954400	1777800	49	48	49	49	49	49	51	51	51	51	51	51	49.6	52.4	6044800000	3029900000	3014900000	105				1364	1137;1200;1392;1804;3832;4223;4825;5315;6265;6350;7255;7699;10375;10835;10898;11563;11939;13176;13274;13366;14480;15054;15339;17141;17971;19239;20016;20816;25188;25418;28573	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1126;1188;1382;1796;3820;4214;4817;5311;6261;6346;7252;7698;10381;10845;10908;11575;11951;13194;13293;13385;14501;15076;15363;17171;17993;19264;20041;20842;25215;25446;28611	3187;3346;3347;3348;3910;3911;5077;5078;10726;10727;10728;10729;10730;10731;10732;11963;13617;13618;15039;15040;15041;15042;15043;17761;17762;17763;17764;17996;17997;17998;17999;20383;20384;20385;20386;21659;21660;21661;21662;21663;21664;21665;21666;29364;29365;29366;29367;30858;30859;30860;30861;31065;31066;33195;33196;34383;34384;34385;34386;38009;38010;38011;38012;38292;38293;38563;38564;41609;41610;41611;41612;41613;41614;41615;43298;43299;43300;43301;43302;44148;49219;49220;49221;49222;49223;49224;49225;51402;51403;51404;51405;55110;55111;57157;57158;57159;59254;71384;71385;71386;71387;72109;72110;72111;81347	3283;3442;3443;3444;4023;4024;5244;5245;11004;11005;11006;11007;11008;11009;11010;12321;14036;14037;15491;15492;15493;15494;15495;18310;18311;18312;18313;18546;18547;18548;18549;20977;20978;20979;20980;22269;22270;22271;22272;22273;22274;22275;22276;30234;30235;30236;30237;31809;31810;31811;31812;32017;32018;34217;34218;35451;35452;35453;35454;39256;39257;39258;39259;39544;39545;39820;39821;42975;42976;42977;42978;42979;42980;42981;44747;44748;44749;44750;44751;45637;50826;50827;50828;50829;50830;50831;50832;53063;53064;53065;53066;56864;56865;58925;58926;58927;61052;73481;73482;73483;73484;74237;74238;74239;83834	3283;3443;4023;5244;11008;12321;14036;15493;18310;18546;20978;22270;30235;31811;32018;34217;35452;39259;39545;39820;42978;44747;45637;50832;53064;56865;58925;61052;73484;74239;83834		
P50991	P50991	25	25	25	T-complex protein 1 subunit delta	CCT4	sp|P50991|TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4	1	25	25	25	25	22	25	22	25	22	55.3	55.3	55.3	57.924	539	539	1.5	41	41	0	109.24	2376400	2327100	2428300	2568100	2792400	2442900	2250600	2329600	2552200	2546500	2812500	2372900	82	82	82	82	82	82	1260600	1249600	1012300	1342800	1220800	1013000	1115900	1077500	1416000	1225300	1571700	1429900	1193900	1245900	1093800	1312800	1237400	985780	1056700	1083700	1458400	1233700	1575100	1387100	41	41	41	41	41	41	41	41	41	41	41	41	55.3	46.6	7206300000	3270100000	3936200000	82				1365	807;1523;2015;2537;2824;3348;3845;3970;5327;7296;9595;9609;11626;15135;16974;19402;20263;22089;23659;23846;24110;24557;25280;26267;27189	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	797;1513;2008;2523;2810;3335;3833;3958;5323;7293;9600;9614;11638;15157;17004;19427;20288;22116;23683;23870;24135;24582;25308;26298;27223	2184;2185;2186;2187;2188;2189;2190;2191;4287;4288;5709;7149;7949;7950;7951;7952;9348;9349;10776;10777;10778;10779;10780;11138;11139;11140;11141;11142;11143;15082;15083;20495;27185;27186;27187;27188;27218;27219;27220;27221;33376;33377;43566;43567;48703;48704;48705;55529;55530;55531;55532;57807;57808;57809;57810;57811;62656;62657;62658;62659;67024;67025;67549;67550;67551;67552;68321;68322;69639;69640;69641;69642;71763;71764;74620;74621;74622;74623;77210;77211;77212;77213	2256;2257;2258;2259;2260;2261;2262;2263;4420;4421;5883;7356;8182;8183;8184;8185;9606;9607;11055;11056;11057;11058;11059;11422;11423;11424;11425;11426;11427;15538;15539;21089;27995;27996;27997;27998;28028;28029;28030;28031;34407;34408;45030;45031;50291;50292;50293;57288;57289;57290;57291;59584;59585;59586;59587;59588;64500;64501;64502;64503;69016;69017;69576;69577;69578;69579;70359;70360;71711;71712;71713;71714;73889;73890;76804;76805;76806;76807;79476;79477;79478;79479	2257;4421;5883;7356;8185;9606;11058;11422;15538;21089;27995;28031;34408;45030;50291;57290;59587;64500;69017;69579;70359;71713;73889;76804;79479		
P50995	P50995	11	11	11	Annexin A11	ANXA11	sp|P50995|ANX11_HUMAN Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1	1	11	11	11	9	10	9	10	9	10	25.1	25.1	25.1	54.389	505	505	1.65	9	17	0	40.387	599980	585250	617970	636410	744880	653640	568200	586100	648490	633320	748170	634830	26	26	26	26	26	26	304590	289000	241430	325840	306610	256430	295380	296250	376540	310570	438270	397210	288420	289000	260580	318620	310350	249470	279770	297100	387910	314710	437820	385360	12	12	12	12	12	12	14	14	14	14	14	14	21.8	23.4	640590000	302960000	337630000	26				1366	1162;3366;3559;10437;10549;15729;19175;21816;21978;24430;24796	True;True;True;True;True;True;True;True;True;True;True	1151;3353;3547;10443;10557;15754;19200;21844;22005;24455;24822	3257;3258;3259;9410;9411;9412;9413;9973;9974;9975;9976;29526;29527;29893;29894;29895;29896;45255;54940;54941;61922;61923;62361;69283;70329;70330	3353;3354;3355;9668;9669;9670;9671;10240;10241;10242;10243;30396;30397;30792;30793;30794;30795;46789;56692;56693;63763;63764;64204;71353;72417;72418	3355;9671;10243;30397;30792;46789;56693;63763;64204;71353;72417		
P51003;Q9NRJ5	P51003;Q9NRJ5	4;2	4;2	4;2	Poly(A) polymerase alpha;Poly(A) polymerase beta	PAPOLA;PAPOLB	sp|P51003|PAPOA_HUMAN Poly(A) polymerase alpha OS=Homo sapiens OX=9606 GN=PAPOLA PE=1 SV=4;sp|Q9NRJ5|PAPOB_HUMAN Poly(A) polymerase beta OS=Homo sapiens OX=9606 GN=PAPOLB PE=2 SV=1	2	4	4	4	4	1	4	1	4	1	7.5	7.5	7.5	82.842	745	745;636	1.67	2	4	0	11.789	42685	42914	35845	41689	41270	36159	40430	42767	38393	41066	41733	35120	6	6	6	6	6	6	34138	32510	25554	31876	32348	26531	8546.6	10403	10291	9812.4	8922.8	9627.9	32327	32481	27599	31335	32616	25829	8103.5	10287	10794	9731.1	9117.4	9291.3	5	5	5	5	5	5	1	1	1	1	1	1	7.5	1.7	25107000	21145000	3962700	6				1367	14377;23112;24979;27262	True;True;True;True	14397;23136;25005;27296	41305;41306;65515;70825;70826;77404	42668;42669;67470;72916;72917;79672	42669;67470;72917;79672		
P51114	P51114	13	13	13	Fragile X mental retardation syndrome-related protein 1	FXR1	sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3	1	13	13	13	9	13	9	13	9	13	25.8	25.8	25.8	69.72	621	621	1.53	15	17	0	56.87	713860	670620	743920	716220	842900	759070	675920	673620	776130	715170	847090	736590	32	32	32	32	32	32	300890	270050	216490	293840	277920	223610	412970	400570	527430	422380	564980	535460	284840	270850	234460	287320	280960	217850	391080	402760	541660	427850	566130	518740	13	13	13	13	13	13	19	19	19	19	19	19	19.6	25.8	978930000	437730000	541200000	32				1368	1794;4736;4964;9320;11743;11744;13243;13327;14148;16529;20738;21081;26813	True;True;True;True;True;True;True;True;True;True;True;True;True	1786;4728;4957;9323;11755;11756;13261;13346;14168;16559;20764;21108;26846	5055;5056;13350;13351;14027;14028;14029;14030;26398;26399;26400;26401;26402;33761;33762;33763;38198;38199;38447;40699;40700;40701;40702;47445;47446;47447;47448;59053;59979;59980;76230;76231	5222;5223;13763;13764;14457;14458;14459;14460;27184;27185;27186;27187;27188;34820;34821;34822;39445;39446;39701;42044;42045;42046;42047;49016;49017;49018;49019;60847;61799;61800;78477;78478	5223;13763;14458;27186;34821;34822;39446;39701;42047;49019;60847;61799;78477		
P51148;P61020;P20339	P51148	8;2;2	8;2;2	8;2;2	Ras-related protein Rab-5C	RAB5C	sp|P51148|RAB5C_HUMAN Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2	3	8	8	8	8	7	8	7	8	7	53.7	53.7	53.7	23.482	216	216;215;215	1.41	17	12	0	34.255	380900	457430	506350	450150	590760	513480	361120	453360	526880	453100	590820	498870	29	29	29	29	29	29	186120	260370	259550	266250	306520	243700	194780	197060	246800	183900	284240	269780	176630	255880	273260	264890	307240	237530	184490	197480	253620	188210	283580	261340	15	15	15	15	15	15	14	14	14	14	14	14	53.7	42.6	994010000	468570000	525440000	29				1369	2580;7910;8923;10519;18301;19541;23689;28317	True;True;True;True;True;True;True;True	2566;7910;8925;10525;18323;19566;23713;28353	7279;22248;22249;22250;22251;22252;22253;22254;25202;25203;25204;29787;29788;29789;29790;29791;29792;52334;52335;52336;52337;55922;55923;67108;67109;80511;80512;80513;80514	7493;22862;22863;22864;22865;22866;22867;22868;25966;25967;25968;30661;30662;30663;30664;30665;30666;54013;54014;54015;54016;57684;57685;69103;69104;82966;82967;82968;82969	7493;22868;25966;30666;54014;57685;69104;82968		
P51149	P51149	9	9	9	Ras-related protein Rab-7a	RAB7A	sp|P51149|RAB7A_HUMAN Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1	1	9	9	9	9	7	9	7	9	7	54.6	54.6	54.6	23.489	207	207	1.36	16	9	0	41.459	283120	344970	377970	342730	422460	349410	268440	341610	393710	343850	422830	340060	24	24	24	24	24	24	161180	230140	231430	240370	266210	199060	121940	114840	146540	102360	156250	150350	152980	226010	243610	238700	266820	194470	115460	115600	150110	105140	156010	145590	14	14	14	14	14	14	10	10	10	10	10	10	54.6	45.9	319600000	191260000	128350000	25				1370	3518;5076;7509;8503;8813;17080;18790;19742;24964	True;True;True;True;True;True;True;True;True	3505;5070;7508;8504;8815;17110;18814;19767;24990	9850;9851;9852;14384;14385;14386;14387;14388;14389;14390;21132;23936;23937;23938;23939;24876;24877;49057;49058;53855;56430;56431;70783;70784;70785	10113;10114;10115;14830;14831;14832;14833;14834;14835;14836;21730;24652;24653;24654;24655;25635;25636;50658;50659;55594;58192;58193;72874;72875;72876	10114;14831;21730;24655;25635;50659;55594;58193;72875		
P51398	P51398	8	8	8	28S ribosomal protein S29, mitochondrial	DAP3	sp|P51398|RT29_HUMAN 28S ribosomal protein S29, mitochondrial OS=Homo sapiens OX=9606 GN=DAP3 PE=1 SV=1	1	8	8	8	6	8	6	8	6	8	25.4	25.4	25.4	45.566	398	398	1.42	14	10	0	39.068	285920	296330	319200	299850	355610	314970	270860	295820	333250	299880	357100	305810	23	23	23	23	23	23	130940	144640	120150	147460	148900	115340	154980	151690	199050	152390	206700	199630	124090	143400	129120	145010	149950	112530	146770	152420	204130	154860	207150	193280	10	10	10	10	10	10	13	13	13	13	13	13	20.6	25.4	262840000	116930000	145910000	24				1371	5343;5794;6415;10338;19187;19641;22848;24656	True;True;True;True;True;True;True;True	5339;5790;6411;10344;19212;19666;22874;24682	15128;16358;16359;16360;16361;16362;18176;18177;18178;18179;18180;18181;29276;29277;54969;54970;54971;56176;64806;64807;64808;64809;69941;69942	15586;16842;16843;16844;16845;16846;18727;18728;18729;18730;18731;18732;30142;30143;56721;56722;56723;57938;66756;66757;66758;66759;72027;72028	15586;16842;18731;30142;56723;57938;66757;72027		
P51452	P51452	7	7	6	Dual specificity protein phosphatase 3	DUSP3	sp|P51452|DUS3_HUMAN Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1	1	7	7	6	4	5	4	5	4	5	64.3	64.3	45.4	20.478	185	185	1.36	9	5	0	21.57	173050	184720	188820	191470	239660	198780	163960	183960	198470	191130	239760	193450	13	13	13	13	13	13	89085	97797	78882	102730	111220	87536	83969	86923	109940	88743	128440	111250	84417	96954	85260	101000	111720	85350	79544	87010	113210	90130	128040	108100	6	6	6	6	6	6	7	7	7	7	7	7	32.4	37.8	312910000	142190000	170720000	14				1372	75;1795;6061;13109;15154;22197;22894	True;True;True;True;True;True;True	72;1787;6057;13127;15176;22920	154;5057;5058;17161;17162;17163;17164;37820;43617;43618;43619;43620;43621;64918	155;5224;5225;17697;17698;17699;17700;39050;45083;45084;45085;45086;45087;66868	155;5225;17700;39050;45084;66868		
P51532;P51531	P51532;P51531	5;4	5;4	5;4	Transcription activator BRG1;Probable global transcription activator SNF2L2	SMARCA4;SMARCA2	sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2;sp|P51531|SMCA2_HUMAN Probable global transcription activator SNF2L2 OS=Homo sapiens OX=9606 GN=SMARCA2 PE=1 SV=2	2	5	5	5	2	4	2	4	2	4	3.3	3.3	3.3	184.64	1647	1647;1590	1.17	5	1	0	11.356	50333	52736	61703	48627	76595	61134	47684	52683	63771	49639	75995	59576	5	5	5	5	5	5	23843	25131	20294	23618	27664	22096	26490	27604	41408	25009	48930	39038	22589	24970	21813	23387	27714	21532	25095	27713	41958	26253	48281	38044	2	2	2	2	2	2	3	3	3	3	3	3	1.4	2.8	40206000	18791000	21415000	6				1373	11959;12871;16845;24341;24508	True;True;True;True;True	11971;12889;16875;24366;24533	34426;37170;48343;69038;69039;69480	35494;38368;49928;71105;71106;71550	35494;38368;49928;71105;71550		
P51553	P51553	4	4	4	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial	IDH3G	sp|P51553|IDH3G_HUMAN Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3G PE=1 SV=1	1	4	4	4	1	4	1	4	1	4	17.3	17.3	17.3	42.794	393	393	1.2	4	1	0	19.302	97420	108560	122430	100990	138500	123810	92323	108030	126920	102250	138420	120170	5	5	5	5	5	5	34713	44380	38249	40246	47059	38611	62707	64177	84181	60745	91436	85198	32923	43703	40715	40024	47181	37589	59400	64324	86200	62221	91240	82582	1	1	1	1	1	1	4	4	4	4	4	4	2	17.3	94837000	30865000	63972000	5				1374	2638;15318;18445;22591	True;True;True;True	2624;15342;18467;22616	7462;44092;52745;64099;64100	7686;45581;54429;66023;66024	7686;45581;54429;66024		
P51570	P51570	21	21	21	Galactokinase	GALK1	sp|P51570|GALK1_HUMAN Galactokinase OS=Homo sapiens OX=9606 GN=GALK1 PE=1 SV=1	1	21	21	21	20	20	20	20	20	20	69.9	69.9	69.9	42.272	392	392	1.59	30	44	0	133.01	1446200	1451300	1718900	1542400	1782100	1563200	1369800	1453700	1781500	1544700	1790900	1518300	70	73	75	73	74	73	831320	843270	729260	877250	889890	746870	614910	608070	989620	665190	892260	816350	787430	840320	780580	863450	897850	726500	582370	613350	1000900	681250	893030	791750	35	38	38	38	39	38	35	35	37	35	35	35	64.3	67.1	3045600000	1471000000	1574600000	76				1375	2154;3500;3706;5485;7533;9519;11017;11287;11399;13250;14495;15993;16346;17918;19572;20364;21357;22502;22613;23701;26822	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2146;3487;3694;5481;7532;9524;11027;11299;11411;13268;14516;16021;16376;17940;19597;20390;21386;22528;22638;23725;26855	6092;6093;6094;6095;6096;6097;6098;9807;9808;9809;9810;10386;10387;15511;15512;15513;21191;21192;21193;21194;26961;26962;31470;32355;32356;32357;32358;32359;32360;32712;32713;32714;38218;38219;38220;41653;41654;45936;45937;45938;45939;46956;46957;46958;46959;51275;51276;51277;55998;55999;56000;58097;58098;58099;58100;58101;58102;60737;60738;60739;63866;63867;64169;64170;64171;64172;67129;67130;67131;76246;76247;76248;76249;76250	6276;6277;6278;6279;6280;6281;6282;10070;10071;10072;10073;10662;10663;15986;15987;15988;21791;21792;21793;21794;27767;27768;32432;33347;33348;33349;33350;33351;33352;33725;33726;33727;39465;39466;39467;43019;43020;47487;47488;47489;47490;48524;48525;48526;48527;52931;52932;52933;57760;57761;57762;59882;59883;59884;59885;59886;59887;62568;62569;62570;65789;65790;66096;66097;66098;66099;69124;69125;69126;78493;78494;78495;78496;78497;78498;78499	6276;10070;10662;15986;21794;27767;32432;33351;33725;39467;43019;47490;48525;52932;57762;59886;62569;65790;66099;69124;78494		
P51571	P51571	5	5	5	Translocon-associated protein subunit delta	SSR4	sp|P51571|SSRD_HUMAN Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1	1	5	5	5	5	5	5	5	5	5	36.4	36.4	36.4	18.998	173	173	1.37	12	7	0	20.965	449900	476300	440170	514420	463660	417560	426240	473900	468030	505250	471250	405190	20	20	20	20	20	20	211540	261540	205500	288950	213480	179410	238360	214760	234680	225470	250180	238140	200590	257670	223080	280500	218840	174510	225650	216230	244950	224740	252410	230670	10	10	10	10	10	10	10	10	10	10	10	10	36.4	36.4	694000000	336840000	357160000	20				1376	7942;18779;21583;27052;28683	True;True;True;True;True	7942;18803;21612;27086;28723	22334;22335;22336;22337;22338;22339;22340;22341;53826;53827;53828;61321;61322;61323;61324;76883;76884;81651;81652	22948;22949;22950;22951;22952;22953;22954;22955;55564;55565;55566;55567;63157;63158;63159;63160;79147;79148;84152;84153	22953;55566;63157;79148;84152		
P51572	P51572	4	4	4	B-cell receptor-associated protein 31	BCAP31	sp|P51572|BAP31_HUMAN B-cell receptor-associated protein 31 OS=Homo sapiens OX=9606 GN=BCAP31 PE=1 SV=3	1	4	4	4	2	3	2	3	2	3	18.3	18.3	18.3	27.991	246	246	1.25	6	2	0	13.179	183530	175860	238410	192650	273820	255740	173790	177050	244660	195490	273720	247870	8	8	8	8	8	8	35812	50221	63252	58669	69487	49026	147710	125640	175160	133990	204330	206720	33986	49537	65440	58696	69371	48012	139800	127510	179220	136790	204350	199860	3	3	3	3	3	3	5	5	5	5	5	5	8.1	14.2	267350000	36896000	230460000	8				1377	721;14218;19465;26827	True;True;True;True	712;14238;19490;26860	1991;40864;55705;55706;55707;55708;76262;76263	2057;42212;57466;57467;57468;57469;78511;78512	2057;42212;57466;78511		
